Tempo de processamento (perf_counter): 478.7420 segundos

         125429 function calls (125051 primitive calls) in 478.754 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 signal.py:49(decorator)
        1    0.000    0.000    0.000    0.000 shared_memory.py:50(SharedMemory)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        1    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       18    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
       24    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.epoll' objects}
        1    0.000    0.000    0.000    0.000 threading.py:822(_maintain_shutdown_locks)
        1    0.000    0.000    0.000    0.000 secrets.py:34(token_bytes)
        1    0.000    0.000    0.000    0.000 {built-in method binascii.hexlify}
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        9    0.000    0.000    0.000    0.000 _parser.py:247(match)
        1    0.000    0.000    0.000    0.000 <frozen os>:806(fsencode)
