Tempo de processamento (perf_counter): 1.8002 segundos

         50234 function calls (49020 primitive calls) in 1.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      153    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(_use_posix_spawn)
    36/15    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      413    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       20    0.000    0.000    0.000    0.000 {built-in method posix.close}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      413    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 shared_memory.py:225(close)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
      336    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.000    0.000 enum.py:1594(__and__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       73    0.000    0.000    0.000    0.000 pickle.py:190(<genexpr>)
        1    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
       96    0.000    0.000    0.000    0.000 _parser.py:261(get)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
        1    0.000    0.000    0.000    0.000 shared_memory.py:40(_make_filename)
        2    0.000    0.000    0.000    0.000 enum.py:1446(_missing_)
      185    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _zstdfile.py:1(<module>)
      608    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 resource_tracker.py:270(unregister)
      185    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1393(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        1    0.000    0.000    0.000    0.000 synchronize.py:158(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 random.py:119(__init__)
        2    0.000    0.000    0.000    0.000 signal.py:69(pthread_sigmask)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 threading.py:630(set)
        2    0.000    0.000    0.000    0.000 threading.py:880(__init__)
       71    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      181    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        7    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 subprocess.py:759(Popen)
       55    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.000    0.000 util.py:242(register_after_fork)
      2/1    0.000    0.000    0.000    0.000 threading.py:975(start)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        4    0.000    0.000    0.000    0.000 util.py:532(close_fds)
      137    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       47    0.000    0.000    0.000    0.000 enum.py:746(__delattr__)
       16    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        6    0.000    0.000    0.000    0.000 enum.py:928(_get_mixins_)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 __init__.py:209(DecompressionParameter)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'mmap.mmap' objects}
        1    0.000    0.000    0.000    0.000 threading.py:651(wait)
        4    0.000    0.000    0.000    0.000 shared_memory.py:211(name)
        3    0.000    0.000    0.000    0.000 random.py:460(choices)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
      143    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 tempfile.py:143(rng)
      102    0.000    0.000    0.000    0.000 _parser.py:256(match)
       17    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
        4    0.000    0.000    0.000    0.000 enum.py:1207(_add_alias_)
       14    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
     11/7    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
      132    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       83    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       45    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       36    0.000    0.000    0.000    0.000 enum.py:1576(_get_value)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:1436(_iter_member_by_def_)
        2    0.000    0.000    0.000    0.000 threading.py:438(notify_all)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 {built-in method _posixshmem.shm_open}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 pickle.py:1250(_Unpickler)
      108    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      143    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 queues.py:222(_finalize_close)
        2    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
       48    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        4    0.000    0.000    0.000    0.000 weakref.py:138(__setitem__)
        6    0.000    0.000    0.000    0.000 enum.py:969(_find_data_type_)
        4    0.000    0.000    0.000    0.000 signal.py:72(<genexpr>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f139cdb0d50}
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       58    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      257    0.000    0.000    0.000    0.000 hmac.py:21(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
       92    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 connection.py:563(Pipe)
       74    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       90    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:22(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:337(wait)
        2    0.000    0.000    0.000    0.000 signal.py:24(_int_to_enum)
       27    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       10    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
